article_id,article_title,year,journal,abstract
1011,Noncommutativities of D-branes and $\theta$-changing Degrees of Freedom,2000,Phys.Lett.,  It is known that when there are several D-branes- their space-timecoordinates in general become noncommutative. From the point of view ofnoncommutative geometry- it reflects noncommutativity of the world volume ofthe D-branes. On the other hand- as we showed in the previous work- in thepresence of the constant antisymmetric tensor field the momentum operators ofthe D-branes have noncommutative structure. In the present paper- weinvestigate a relation between these noncommutativities and the description ofD-branes in terms of the noncommutative Yang-Mills theory recently proposed bySeiberg and Witten. It is shown that the noncommutativity of the Yang-Millstheory- which implies that of the world volume coordinates- originates fromboth noncommutativities of the transverse coordinates and momenta from theviewpoint of the lower-dimensional D-branes. Moreover- we show that thisnoncommutativity is transformed by coordinate transformations on the worldvolume and thereby can be chosen in an arbitrary fixed value. We also make abrief comment on a relation between this fact and a hidden symmetry of the IIBmatrix models.
1012,Boundary Liouville Field Theory I. Boundary State and Boundary Two-point,2000,,  Liouville conformal field theory is considered with conformal boundary. Thereis a family of conformal boundary conditions parameterized by the boundarycosmological constant- so that observables depend on the dimensional ratios ofboundary and bulk cosmological constants. The disk geometry is considered. Wepresent an explicit expression for the expectation value of a bulk operatorinside the disk and for the two-point function of boundary operators. Wecomment also on the properties of the degenrate boundary operators. Possibleapplications and further developments are discussed. In particular- we presentexact expectation values of the boundary operators in the boundary sin-Gordonmodel.
1013,Gravity and the Newtonian limit in the Randall-Sundrum model,2000,Phys.Lett.,  We point out that the gravitational evolution equations in theRandall-Sundrum model appear in a different form than hitherto assumed. As aconsequence- the model yields a correct Newtonian limit in a novel manner.
1014,Gauge theories in local causal perturbation theory,2000,,  In this thesis quantum gauge theories are considered in the framework oflocal- causal perturbation theory. Gauge invariance is described in terms ofthe BRS formalism. Local interacting field operators are constructedperturbatively and field equations are established. A nilpotent BRStransformation is defined on the local algebra of fields. It allows thedefinition of the algebra of local observables as an operator cohomology. Thisalgebra of local observables can be represented in a Hilbert space.  The interacting field operators are defined in terms of time ordered productsof free field operators. For the results above to hold the time orderedproducts must satisfy certain normalization conditions. To formulate theseconditions also for field operators that contain a spacetime derivative asuitable mathematical description of time ordered products is developed.  Among the normalization conditions are Ward identities for the ghost currentand the BRS current. The latter are generalizations of a normalizationcondition that is postulated by D utsch- Hurth- Krahe and Scharf for Yang-Millstheory. It is not yet proven that this condition has a solution in every order.All other normalization conditions can be accomplished simultaneously.  A principle for the correspondence between interacting quantum fields andinteracting classical fields is established. Quantum electrodynamics andYang-Mills theory are examined and the results are compared with theliterature.
1015,Canonical Quantization and Topological Theories,2000,Nucl.Phys.Proc.Suppl.,  The canonical quantization of the topological particle is described; it isshown that BRST quantization of the model gives the supersymmetric quantummechanical model considered by Witten when investigating Morse theory- and therigorous path integral method appropriate for this model is discussed.Possibilities for the extension of this work to two dimensional models arebriefly considered.
1016,A Comment on the Holographic Renormalization Group and the Soft Dilaton,2000,Phys.Lett.,  The equivalence between the holographic renormalization group and the softdilaton theorem is shown for a class of wrapped metrics solutions of the stringbeta function equations for the bosonic string.
1017,The Interaction of Two Hopf Solitons,2000,Phys.Lett.,  This Letter deals with topological solitons in an O(3) sigma model in threespace dimensions (with a Skyrme term to stabilize their size). The solitons areclassified topologically by their Hopf number N. The N=2 sector is studied; inparticular- for two solitons far apart- there are three ``attractivechannels  . Viewing the solitons as dipole pairs enables one to predict theforce between them. Relaxing in the attractive channels leads to various static2-soliton solutions.
1018,Solitons in Brane Worlds II,2000,Nucl.Phys.,  We study the solution describing a non-extreme dilatonic (p+1)-braneintersecting a D-dimensional extreme dilatonic domain wall- where one of itslongitudinal directions is along the direction transverse to the domain wall-in relation to the Randall-Sundrum type model. The dynamics of the probe(p+1)-brane in such source background reproduces that of the probe p-brane inthe background of the (D-1)-dimensional source p-brane. However- as for a probetest particle- the dynamics in one lower dimensions is reproduced- only whenthe source (p+1)-brane is uncharged.
1019,Casimir energy of a dilute dielectric ball with uniform velocity of,2000,Phys.Rev.,  The Casimir energy- free energy and Casimir force are evaluated- at arbitraryfinite temperature- for a dilute dielectric ball with uniform velocity of lightinside the ball and in the surrounding medium. In particular- we investigatethe classical limit at high temperature. The Casimir force found is repulsive-as in previous calculations.
1020,Some uses of moduli spaces in particle and field theory,2000,,  In this talk I shall try to give an elementary introduction to certain areasof mathematical physics where the idea of moduli space is used to help solveproblems or to further our understanding. In the wide area of gauge theory- Ishall mention instantons- monopoles and duality. Then- under the generalheading of string theory- I shall indicate briefly the use of moduli space inconformal field theory and $M$-theory.
